Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
DELL,E6420,3,not working charger,2016-09-28,Pros:good specs,Cons:battery life very bad.charger non functional.Computer seems ok.Hopefully Joy systems can address these things if they can it is 5 star product for the specs and price.,,0,0
DELL,E6420,1,Buyers Beware,2016-07-25,Pros:The price was good.,"Cons:Broke within 6 months. It will not hold a charge.  BAD REFURBISHMENT. I feel very cheated,.",,0,0
DELL,E6420,5,Well Worth it!!,2016-02-26,"Pros:FAST, handles several applications, quick start","Cons:NONE with the Laptop. Win7 Updates took forever, although, we all know that is because of Microsoft","Other Thoughts:I needed a laptop for 3 main things. Running financial applications at the same time, Photoshop Essentials for Photo editing and flight simulator. The lap top performed as expected and almost to perfectionOne thing, I upgraded the RAM from 6G(It came with) to 8 Gb.",0,0
DELL,E6420,2,Great BUT............battery is worthless,2016-01-11,"Pros:Fast and in mint shape, no complaints.","Cons:Battery wont hold a change for more than 20 minutes and this is needed for school and classes. ""Joy Systems"" never returns calls or answers their phone.",,1,0
DELL,E6420,4,As Described,2015-12-23,"Pros:SSD, Cheap, Adequate Ram,","Cons:After Market Power Supply, Wattage below what machine originally shipped with and BIOS complains that power supply won't charge efficiently",Other Thoughts:Will try to contact seller to see if they will supply the correct power supply.,0,0
DELL,E6420,5,PERFECT,2015-11-13,Pros:like new,Cons:none,"Other Thoughts:perfect condition, just like new.  i have no complaints.",0,0
DELL,E6420,5,Amazing Refurb,2015-10-21,Pros:An incredible job refurbishing this laptop. Could not tell the difference between this and a brand new machine. Ordering a second machine today.,Cons:None,,0,0
DELL,E6420,4,Good laptop,2015-10-18,"Pros:The laptop was mostly as described. SSD is a SanDisk. It's what I expected in a refurbished laptop, so I'm happy.","Cons:DVD drive won't latch unless slammed, or the drive is ejected and reinserted.","Other Thoughts:The sides were scratched a bit; you can tell it's a used unit. Not really noticeable. On the main surface, where most wear would take place, the palmrests were covered by textured stickers. Most keycaps are covered by stickers, so there's no problem with worn-off letters. Unknown how they will stick long-term.",0,0
Acer,A315-41-R3RF,5,Flawless,2019-02-14,Pros:pricehard driveslimbattery life,"Cons:speakers, but never use any way",Other Thoughts:Case is flawless can't tell it's a refurb. The performance isn't enthusiast level because it's a main stream laptop. I run Eclipse on it and compile time is very acceptable.It has an m.2 slot which runs the MSATA interface not PCIE.,0,0
Acer,A315-41-R3RF,5,really good budget laptop,2019-01-29,Pros:Great battery lifeGood valueGood for light end and even some medium end gaming (if you're willing to compromise quality/FPS)Very little crapware pre-installed.Still getting driver support currently (2019)Great ventilationDDR4 RAM with 1GB shared with APU,"Cons:Not every program/game supports the weird resolution (wish the screen was just 720p as this is what said apps would be forced in)Pain to get a Linux distro working.Screen doesn't provide best viewing angles.Vents are on the bottem, not the worse position but could be betterSpeakers are on bottom too for some odd reason","Other Thoughts:If you plan on doing gaming other than low-end games, I would suggest adding more RAM.This is the first time I every bought something refurbished so I'm glad it was a good overall experience.This laptop is perfect for light stuff like low-end gaming, browsing, office programing, image editing etc. while being under $300",1,0
