Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
HP,640 G1,4,Great product - but beware Edege and Explorer,2018-06-15,"Pros:First of all newegg got this computer to me super fast - days early. The comp is fast enough for my needs (home office work, streaming) and while the 14"" screen isn't optimal for video, it does make biking with it in my backpack much better than my prior 17"" screen. Settings allow you to easily tone down the sensitivity on the touch-mouse, which is huge for me as many previous laptops didn't allow that and caused me much frustration (heavy hands I guess). This isn't a gaming computer, and it does bog a bit when I run large database analysis programs (R, Python) but it still gets the job done well. A great product for the price","Cons:The biggest gripe I have is that the comp comes loaded with Windows 10 Home and Micro Edge. The only browser by default is Explorer (which I hate) - despite resetting Edge multiple times I still couldn't get explorer to download any other browser (Firefox or Chrome) successfully - it kept downloading those programs as text files. A simple fix was to download both exe files onto my external (using my desktop) and then run them from there onto the laptop. Once this was done the internet issues (slow loading, failure to load video, failure to block pop-ups) all magically vanished.Again this is a small screen - which for me is a plus do to carrying this around a lot - but others may find the size a tad too small for their needs.",,1,0
Lenovo,X240,1,Caveat Emptor...,2018-05-06,Pros:Fast - when it was operational (which was exactly 7 days before SSD failure],"Cons:Screen - appears on last legs... yellowish, dingy, dim even after trying several adjustmentsKeyboard - they put stickers on all keys and touch surfaces so you don’t see wear and tear, font is a bit goofy and everything (including cover surfaces) has these weird sharp edges from stickers... how long till they peel  off??SSD - as noted it bricked after a week of mostly installation tasks... service rep with thick accent said they would send me a “new refurbished” SSD for free, which means I’ll probably spend my own money to make sure i’’m not in this boat again in a month - but he didn’t ask for any info or diagnostics... I got distinct impression this is a common occurance for them... seemed relieved when I said could install myselfBattery - empties in an hour, they said they tested it to verify it holds a charge...  so if I keep ai guess I’ll need to order a new battery as well","Other Thoughts:Advertised as sold by Newegg and “Grade-A” refurb... I would NEVER go this route again; if I have to buy my own SSD and r install from scratch, and buy a new battery, and look at this dingy yellow screen after weeks of getting it working again, what’s the point? I honestly haven’t been this disappointed or frustrated by a company/purchase in a long time. Seriously, don’t waste your money - get something new with lesser performance if budget constrained... I’m still trying to figure out if I just consider the money flushed down the toilet or if I try and make it useful until it’s next fatal issue.",0,0
HP,6470B,2,Refurbished?,2017-02-14,Pros:It works,Cons:I've never seen a more poorly refurbished item. Stickers to cover the wear on the keyboard instead of replacing the keyboard? Actual physical damage including a few dents to the exterior of the laptop and it looks like it was dropped on one corner and then filled with epoxy.,Other Thoughts:I will never buy a refurbished item again. Apparently the definition of that word have changed over the years. The price i got it for is the only reason it's getting a second star,0,0
Apple,FF841LL/A,5,Refurbished unit but in like new condition,2016-12-23,Pros:not a mark on itfast shipping,Cons:no issues,,0,0
DELL,E6420,4,"Good laptop, but not what's shown in picture",2018-06-28,Pros:- Fast- Works great for internet browsing and using Office- Very good value- Looks almost brand new,Cons:-The picture for this laptop is wrong. It does not come with a number pad.,,1,0
Acer,A515-51-513F,5,Great product--easy to setup and use,2019-02-18,"Pros:-fast startup from the 256 Gb SSD-lighted keyboard! (this was a bonus feature that was a most pleasant surprise)--turns on by default when plugged in, Fn+F9 key combination turns on/off on battery-long batt life (8 hrs+, but I""m not a gamer)-quick performance from the I5 8th gen chip  (made quicker by adding 16 Gb RAM--you need to swap out 4Gb RAM card for 16 Gb--not really a requirement but I made the swap--for those who have made RAM upgrades, this is a 5 minute task)-noticeably quicker than Dell 5580 (I5 7th gen chip) I use for work-keyboard has a nice feel to it, and laptop hinges don't feel weak or wobbly.","Cons:-WiFi is ok, but could be improved (this has been noted in other reviews)--no hiccups or issues even with streamed video, but heavier users could find it limiting-screen is good, but not a ""wow!""--again, this is a budget model","Other Thoughts:-yes, I would recommend this product-this is a budget model that competes with performance well outside its price range-purchased a refurbished model, arrived in just like new condition.",2,0
DELL,M6800,5,4 CORES / 8 THREADS up to 3.7Ghz boost,2018-05-17,"Pros:Desktop like performance240GB SSD17.3"" 1080p screen & 16GB DDR3 1600 (11-11-11 1T)",Cons:Huge beast.,"Other Thoughts:Had to activate windows, not an issue the key is on the bottom of laptop but just be aware.A 4 core 8 thread Haswell @3.7 turbo is still a great cpu in 2018Basically, this is a desktop replacement w/o gaming.",0,0
Lenovo,X131E,3,Average cheap laptop,2019-02-24,Pros:Cheap,Cons:Slow,"Other Thoughts:Got this laptop for my son for school.  Being a programmer, I knew it wasn't going to be fast, but it was VERY slow .  I did some research and it seemed like there were people who were able to add more RAM even though it says the max was 8GB.  I decided to try upgrading the memory using https://www.newegg.com/Product/Product.aspx?Item=N82E16820231705 - it worked exactly as I had hoped...MUCH faster and now usable.",0,0
Lenovo,T520,4,Works Great!,2017-01-29,Pros:The unit works perfectly and is very fast with the SSD Drive.,"Cons:This unit should have been advertised as ""B"" Grade. First of all, if you have to cover all the keys on the keyboard and the top of the unit with black textured stick on covering, that is ""B"" Grade in my book. Second,  there are spots on the lower rear corner that looks like some kind of chemical etched the case, along with a gouge that was painted over.  Good thing it is not noticeable when viewed directly from the front by the user. If I bought this for my self I would have retutrn it! Luckily my customer is not concerned with these blemishes.","Other Thoughts:I specifically chose this rebuilder because of the very high quality I have seen in their refurbished computers in the past. I have purchased and sold three laptops refurbished by Joy Systems. All three were ""A"" grade, looked and ran like new. One came with the wrong Optical drive. I made contact with these folks and they sent me the correct one right away...great warr service and good folks to deal with. I am going to let this one go, but the next unit I get that looks like this, I will return for a refund, take pictures, make contact letting them know why I returned it.",0,0
Lenovo,T420,5,Awesome product,2016-11-21,"Pros:Think Pad with core 5 , 8 gb , 256 gb ssd and win pro 10. Every thing i asked for and works perfect. At a considerable savings.",Cons:No issues,Other Thoughts:I would recomend this.,0,0
HP,8570P,1,Y-2k issue,2017-04-06,Pros:Almost there,Cons:Laptop came with 2 letter K keys and no letter T between the letters R and Y.  So seems to be the old Y2k issue.,Other Thoughts:I'll be sending the laptop back.,0,0
DELL,E6540,5,"Fast laptop, very good (Grade A) condition and a fair price.  I will buy my next laptop from Coretec.",2017-11-07,Pros:In very good (Grade A) condition.  Functions perfectly.  Super fast with the Solid State Hard Drive.  Price was very fair at about $400.Attractive design.  This is a business laptop so it's built a little more rugged than a consumer laptop.,"Cons:It's a little heavier and bulky than a consumer laptop, but it's worth it to me since it's more rugged.",Other Thoughts:Delivery was quick.,0,0
DELL,E7440,3,Was Quite Good.  For Awhile.,2018-12-05,"Pros:Good laptop.  Plenty speed, good enough RAM.  With the SSD it actually feels fast.",Cons:Died after 3 1/2 months.,"Other Thoughts:Being that it lasted less than 4 months, I'd not recommend this laptop.",0,0
DELL,E5450,1,Never again,2019-03-04,Pros:It got here quickly,"Cons:It died after 2 weeks of using it.  I was working and it made a pop sound and the screen looked like a black lava lamp.  I also ordered a processor for another computer that didn't work either.  It said it was under warranty and surprise surprise, it's not",Other Thoughts:Buy NEW from a reputable dealer.,0,0
HP,8540P,4,looked and worked like new with minor snafus,2019-03-16,Pros:looked like it was never used -not loaded with bloatware - clean OS installbusiness class machine that is made to be serviced and upgraded easily.,Cons:had a bit of fun figuring out why the USB ports were completely disabled.  even a mouse wouldn't work.  eventually figured out that they had been disabled in the bios.learned a lot about the many ways usb ports can be enabled/disabled or modified to limit their function.,Other Thoughts:for the money this is a solid computer from a good supplier that looks and works as if it were new (in 2010 terms).,0,0
HP,EliteBook 8460p,5,Great product and easy to setup,2019-02-08,"Pros:Great deal, decent specs for the price",Cons:Had a windows 7 and intel sticker on it unfortunately.,Other Thoughts:I would highly recommend this product or anything else from this supplier Arrow Direct,0,0
