Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
HP,650 G1,4,Great for the price,2018-07-24,Pros:Everything has worked perfect,Cons:Took long to ship,Other Thoughts:Good buy i always go threw newegg on refurbished,1,0
DELL,E6430S,2,It works,2016-07-19,Pros:Lightweight.Physical volume buttons.Lasting battery life.It's a little workhorse.,Cons:Came looking used with scratches on the lid.The HDMI port is out of alignment and is unusable.The speakers are blown and you can't really listen to anything because it makes a painful high-pitched noise.Printscreen button is awkward.You'll end up clicking page up and down by accident a lot when trying to use the arrow keys.,Other Thoughts:I'd only recommend this is you want it strictly as a work laptop.,0,0
Lenovo,X131E,3,Average cheap laptop,2019-02-24,Pros:Cheap,Cons:Slow,"Other Thoughts:Got this laptop for my son for school.  Being a programmer, I knew it wasn't going to be fast, but it was VERY slow .  I did some research and it seemed like there were people who were able to add more RAM even though it says the max was 8GB.  I decided to try upgrading the memory using https://www.newegg.com/Product/Product.aspx?Item=N82E16820231705 - it worked exactly as I had hoped...MUCH faster and now usable.",0,0
HP,6460B,5,Worked perfectly,2016-10-09,Pros:Fast computer for the price.  Excellent quality for refurbished.  No flaws or a single scratch.  Like new.,Cons:I little heavy compared to newer laptops but it is 400 dollars less than similar new one.,,0,0
DELL,E6220,1,almost zero support,2019-02-10,Pros:good looking piece of scrap metal,"Cons:Have tried on 3 occasions for their support staff to help me fix what I believe to be a small glitch. They sent me a link that doesnt work and only respond 48 hours after email. Can never get a live body which would fix problem in no time, instead I sit with a non functioning laptop for a week hoping I get another email so that I can fix their product. Where do I send my work card? Since they are asking me to do their repair work for them. Not happy.",Other Thoughts:the product could be excellent but the service and support is minimal. If your not tech savvy consider another company.,0,0
DELL,E6330,5,Extremely clean refurbished,2017-08-14,"Pros:Cosmetically 9/10, better than many refurbished systems I have dealt with.  Hardware works as expected, no bloatware.",Cons:None I can think of.,,0,0
Lenovo,T540P,4,"Great deal, excellent condition, nice specs",2018-09-02,Pros:- Speedy delivery on free tier- Much bigger than expected (large screen and full keyboard)- Fast enough to do software development work and even some gaming,Cons:- Minor scratches expected of a refurb,,0,0
DELL,E5440,5,Great refurb!,2019-01-01,"Pros:For a ""B"" rated refurb this laptop was in pretty nice shape with minimal markings.Windows 10 pro installed and NOTHING else which is a huge plus for me! Absolutely NO bloatware! No ""free trials"" of anything!The BIOS was clean as well.This was better than a new computer in my opinion.There was one small hiccup activating Windows but it was VERY quickly resolved by JoySystem's support crew who replied to me within a few hours via email!Overall I'm VERY happy with my purchase and would not hesitate to buy again!",Cons:None so far.,,0,0
DELL,E6430,5,great laptop for the price,2017-12-04,Pros:great price for this refurb product.no issues a week into ownership.,"Cons:none yet.maybe louder on-board speakers, but really... ?",Other Thoughts:quick delivery,0,0
HP,8570P,3,Nice Specs Kind of,2016-02-18,Pros:Full spec refurb,Cons:Heavy and when I checked installed RAM it indicated only 2GB of RAM total and a single channel.,Other Thoughts:Will contact the refurb company and see if they will make good on the RAM without sending it back.,1,0
