Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
ASUS,F542UA-DH71,4,Nice Notebook but be thoughtful of 5 ghz wireless connection,2018-06-30,"Pros:Its light, less than 4 lbs. Its fast and boots in less than 10 seconds. Its got a CD/DVD recording drive. Nice screen view and aesthetically designed frame. Also tech support is quick to respond on the phone.","Cons:It's wireless connection is using to the 802.11 AC band,  (5 ghz), which is a newer standard than the  older 2.4 ghz being broadcast on some routers. Some notebooks use a dual band wireless device that would take care of this issue.  It would be a good idea for anyone replacing a notebook that they have been using for many years to check what  band their router is currently broadcasting so they understand if suddenly the new notebook wireless appears to be connecting slowly.One other minor issue was difficulty using the track pad mouse. I would often lose the mouse because of pressure issues. Much easier to use a wired/wireless mouse.","Other Thoughts:After barely being able to connect to the Internet with its internal wireless connector I called Asus tech support. Went through reinstalling the wireless device driver all the way to reinstalling the complete operating system. Nothing helped speed up the connection. Sent the notebook back to Newegg and Newegg speedily sent me a replacement. Had the same difficulty with the 2nd laptop. Again went through tech support with the same results. Finally, just as an experiment, I installed a USB wireless connector that I had on hand. It worked perfectly and I had a good connection. No choppy video and able to move from site to site without a hiccup.Asus support apparently reads reviews on this site and contacted me about the slow connection I was getting. I checked our router and found we were using the 2.4 ghz standard. At that point I realized that there was nothing wrong with their notebook's wireless connector.The only other thought that I keep considering is the  240 Gb M2 chip for storage that comes in this machine. I'm used to using a SSD . It probably should not be an issue, but still I'm slow to change to newer technology.",0,1
ASUS,F542UA-DH71,4,"Laptop is fine, but windows is not",2018-06-24,Pros:Quick at startup and does what is expected,"Cons:Laptop was hard to setup when we received it since the programming wanted our Microsoft.com login. We didn't want one and although there was another setup choice, it still required to us to sign up for one or we couldn't use the machine. Also, windows 10 is not as user friendly as windows 7. The added bloat software that was pre-loaded had to be removed too.",Other Thoughts:Price was good,0,1
ASUS,F542UA-DH71,4,Great Laptop. Lousy Packaging,2018-03-27,"Pros:- Simple set up. Practically does the work for you- Large screen.- Runs quick, stays cool.-Shipped quick- Large touch pad is nice and easy to use.","Cons:- 4 ""eggs"" for the laptop - 1 ""egg"" for the shipping box.- Lightweight keying makes it feel kinda cheap. Not loose or anything, just a weird touch.- HORRIBLE shipping box. The laptop's ""box"" was just thrown into a slightly larger box to ship with no padding; so it slid all around. The outer box was a damaged mess. Half open (the one piece of tape thrown across the seam didn't quite do it's job) and large, accordion-like dents in the outer box.  I was worried the laptop had been damaged. In the end, the laptop seems fine and doesn't have visible issues, but it's honestly making me think twice about going through Newegg again. This laptop is an investment for my business and honestly, the packing job told me they don't really care.",,10,1
ASUS,E203MA-DB02,1,Completely died after just over a year.,2019-03-19,Pros:Small and light.,"Cons:Slow to respond, but I didn't expect a lot from a cheap, tiny laptop, just wanted something small and portable. It was purchased 3/5/2018, and on 3/19/2019, it now fails to start at all. The only sign of life is a little green light next to the lightbulb icon, and an amber light when plugged in.  Otherwise, it's even too small and light to serve as a doorstop.",,0,0
ASUS,E203MA-DB02,4,Great value,2018-09-30,"Pros:I`m using this s a secondary computer, I just wanted something light weight to travel with, and this does everything I need it to. All of the stats  on the computer are good enough so that it doesn`t run slowly, boots quickly, and is overall enjoyable to use. The screen is HD, and the 4gb of RAM is great for a computer this size and this cheap. The build quality is very nice, its light weight but still feels very firm and solid, I don`t worry about it breaking in my backpack when I travel. I like that it has an HDMI port and 2 USB 3.0 ports, so I never have to carry any adapters with me like many Mac users do. The keys are not backlit but they are surprisingly tactile so I don`t mind having to type for long periods of time.","Cons:It doesn`t come with much memory, but it does come with the a 32gb SD which normally you could just use to store files, but if you format it properly you can also store programs and apps that cannot normally be installed on removable storage. Here`s a link that I used to format my SD card that worked well for me. Also, if I could go back I might have just paid $20 to buy a 128gb SD card from the start.http://laptoprepairpro.com/using-sd-card-hard-disk-ultrabooks-2in1-laptops/Also, the track pad isn`t the greatest. Its definitely useable but you may want to buy a wireless mouse if you plan to do extensive work on it.Finally, the sound volume keys are on the opposite side of the keyboard as the ""fn"" key, which needs to be held down to control the volume, so you are forced to use two hands to adjust the volume. There is no ""fn lock"" key on this computer.","Other Thoughts:Overall this is a a great computer, especially for the price. I would recommend this to students, business people who travel (microsoft office runs well on it) , or anyone just looking for a good computer that does the basics and does them well. It`s nothing fancy but its everything you need in a computer and nothing more.",1,0
ASUS,E203MA-DB02,1,Did not come with 32GB SD card,2018-07-31,Pros:nice laptop,Cons:I needed the extra storage space that it did't come with,,0,1
Aorus,15-X9-RT4AD,5,Nice Gaming Laptop,2019-03-15,Pros:-A good looking 144hz 1080p display.-Decent RGB keyboard.-Button on keyboard to change fan speed to two modes.-Cooling system is really nice. Really pulls air through the system cooling it pretty nicely.-Really nice storage options you get two NVMe m.2 slots and one 2.5 slot. Which can give you really nice storage space. Taking apart and installing new storage devices is easy also.-The I7 8750h and Rtx 2070 have nice performance.-The Aorus has a nice look to it.-The 512GB Intel ssd is a nvme m.2 drive with good speeds. It is a Intel 760p Series which has windows on it.-The 1TB hdd is a Seagate Barracuda Pro which is not bad. But I replaced it with a samsung sata 860 evo ssd.,Cons:-Fans get loud at max speed but not much of a con for me.-Rtx 2070 performance is good but not for ray tracing.-Wish display was 1440p than 1080p,Other Thoughts:I have always been a desktop gamer never wanted a gaming laptop due to desktop counterparts being better. But since I plan on going into the navy I needed something more mobile. After looking at a lot of laptops I find the Aorus 15 x9 had the best storage options and performance for a good price. After a day with it I was surprised at the performance of the cpu and gpu both scored higher in 3DMark than my I7-5820k and gtx 980ti at stock speeds on my desktop. I would recommended this laptop if you need something mobile but if you going to play at home more a desktop would be a better offer at the price point.,0,0
Aorus,15-X9-RT4AD,3,Phenomenal laptop with one huge issue,2019-03-12,"Pros:- Great build quality- Great graphics card- OK CPU power, not the fastest 8750H implementation - buy the Legion Y7000 for that- Decent keyboard and trackpad- Decently bright screen- Great lightweight- Small charger","Cons:- LOUD! - There is no Optimus on this even though it has no G-Sync. The integrated graphics card has been disabled. The fan is on constantly, and what's worse... its high piched. No words can describe how frustrating this is. Great laptop brought down to earth by this glaring issue.- Screen colors are way off",,3,0
Aorus,15-X9-RT4AD,5,So far a great setup,2019-02-27,"Pros:- Screen detail and quality are amazing- It's quick (although I'm upgrading from and 4th gen i7 with a Geforce 840m so that's my basis)- Build quality, I'm pleased with the build quality as someone who travels a lot I think it'll hold up for a long time.- Control center is easy to use and makes updating drivers a breeze as well as re configuring the LEDs.",Cons:- Speaker could be better.... Plug in a set of headphones and you'll be blown away from the Nahimic setup though.,,2,0
,,1,Constant problems,2019-02-08,Pros:Ran decently for the first week,Cons:Since we received the item it always started with the bios screen (minor inconvenience) it started by running very slow and freezing and today the laptop completely froze out and is nonresponsive to the power button.,Other Thoughts:Purchased in August of 2018 and it does in February 2019. Find a better laptop.,0,0
