Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
DELL,i3541-2001BLK,2,No backlit keyboard,2015-04-04,Pros:Very good computer for the price,"Cons:No backlit keyboard and instructions on turning on the backlight. Very disappointed for this, so 2 eggs",,0,9
ASUS,X540YA-DB02,4,Bought for backup to other laptop and got one for grandson to use at school.,2019-02-10,"Pros:Put in 128 gb Micro sd, For the money it;s a good buy.  I know not to expect a lot, but it's good for most users.","Cons:Mostly Win 10,  Most bother Cap Lock  And Number lock don't light when on, comeon how much did you save leaving out two led's, not enough to cover the lack of seeing the mode when typing passwords.","Other Thoughts:I have never got a Asus product that never worked, it's my go to brand, until they fail me.",1,0
,,4,"Great price, beautifully made, lots of features",2019-01-01,Pros:Lots of storageQuick boot timesGreat keyboardBeautiful build qualityStylus,Cons:Lower level graphics cardA bit heavier than some convertiblesAverage battery life,"Other Thoughts:I upgraded to this machine from, an admittedly, old laptop. I installed some minor hardware upgrades on my old laptop to try keeping it current but this machine is a massive step up. The build quality is very nice, although the materials around the keyboard and touchpad are a bit of a fingerprint magnet. The Bang and Olufsen speakers with preloaded B&O EQ software, have good instrumental sound distinction and clear vocal reproduction when playing rock, jazz or classical. Hip-hop fans will need to connect to external speakers for real pleasure, however, as low-end reproduction is not strong enough in that genre. The hybrid SSD/HDD set up works great. The OS is on the 128GB SSD which gives you very fast boot up and application load times and you have an additional 1TB of HDD storage for documents, music, pictures etc. The 8GB of RAM is enough for my current needs but those wanting more power can add it later on. There are 2 DDR4 slots in all, laptop memory prices continue to drop and there are many video tutorials and service manual sources online to help you if you choose to perform the upgrade yourself. I was ambivalent about moving to Windows 10 from Windows 7 but even that was not as painful as I feared. This machine also includes the stylus pen but I have not had a chance to really experiment with it.The battery life is better than my old laptop but not as long as claims made by other manufacturers. I have experienced about 5-6 hours of battery life on a balanced setting doing average tasks (web browsing, Excel, etc.) compared to the 8-9 hours that some manufacturers claim their machines can manage. I doubt those who use their machines for high intensity activities, like heavy gaming off the plug would have enough juice for more than 3 or 4 hours. Speaking of gaming, I don't do it and did not need a machine for it, so these specs were ideal for me. If you are a serious gamer, you probably already know that this isn't really a machine for you. The graphics card is great for running a DVD or basic streaming but I doubt it would provide the response and frame rates a true game aficionado would require. I am unsure how easily someone could upgrade from the Radeon 530 graphics card.Great machine, great price, beautiful fit and finish with good overall balanced performance. I don't hesitate recommending this machine to someone needing a new, versatile, home and office focused machine that can be used like a tablet.",1,0
Lenovo,20HY0000US,5,Love it.,2018-03-21,"Pros:My first Chromebook and am impressed, have had Lenovo products in the past and they have bent over backwards to solve any issues that I have had.","Cons:No back light keyboard, but I knew that before purchasing.",Other Thoughts:A back lit keyboard would be a nice feature to have in the future.,0,0
HP,440 G1 (F2P45UT#ABA),5,Great Notebook,2015-02-06,"Pros:Light weight and good battery life, acceptable graphics for light gaming.",Cons:Wish the screen tilted back a little farther.,"Other Thoughts:Great all around notebook, the i3 4000M is fast enough to handle all of my business programs and the video is acceptable for light gaming if I find the time. Easily goes 5 to 6 hours between charges the way I use it. The 1366 x768 resolution is fine on the 14"" screen.Overall very happy with the purchase.",0,0
Acer,NX.GL4AA.002,3,"Interesting Device, Unreliable",2017-07-03,Pros:- Bright screen- Adequate performances- Compatible with the Play Store (in beta) so it can run Android apps- Can be used as a laptop or an oversized tablet,Cons:- Touchscreen stopped working after 7 months- Large bezel,"Other Thoughts:Acer customer service doesn't know how to help with chromebooks. For example, I was advised to remove the battery to solve the touchscreen issue (the battery is not removable) and then we went through standard Windows troubleshooting (Chromebooks run... Chrome OS!).",2,0
Lenovo,ThinkPad X240,5,Not what I ordered in the best way!,2019-02-14,"Pros:To start off the laptop is in great condition. Only one minor scratch but you have to look hard. Now for the great stuff. It actually had a 256gb SSD, 8gb of ram, 6 cell battery and a smart card reader. For the price I'm annoyed that I've ever bought a new consumer laptop. The Lenovo ultrabook it replaced cost roughly 6x as much and lacked hdmi and smart card reader.",Cons:Not really a con but I'd actually prefer a 3 cell battery because it's flush but I won't complain.,"Other Thoughts:My first ThinkPad, all I can say is Awesome!",0,0
Lenovo,X131E,2,Falsely Advertised,2018-04-02,Pros:-came with 300 gb hard drive instead of 120 gb hd-processor and ram as advertised,"Cons:-Came with the wrong power adapter so computer is essentially useless after opening the box. Not impressed.-Advertised to have windows 10 home installed, when actually has windows 7.","Other Thoughts:if i was given a choice to buy this again, i wouldnt. i purchased this for a customer and now my customer has to wait until i can get the proper power adapterand i have to install windows 10.bunch of extra costs and Not impressed at all.",0,0
DELL,E6440,5,Latitude E,2018-03-12,"Pros:Fast Shipping, Great pricing. Properly packaged.",Cons:I have not Cons at this time. I will update if needed but don't see any cons upcoming.,Other Thoughts:Will definitely recommend this seller to everyone.Thank you for the speeding shipping.,0,0
DELL,E6540,4,Great Product!,2018-07-17,Pros:I like how well they perform,Cons:I have not had any issues with this product,,0,0
