Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
HP,15-da0050ca,4,Good price but skimps on everything but the CPU,2019-01-28,"Pros:Very speedyGood price for an i7 CPUOpen M.2 slot allows for easy storage upgrade (e.g., M.2 SSD)Included HD provides 1 TB of storage and is adequately fast (real-world transfer speeds of about 80MB/second)Included 8 GB of RAM is adequate, there is an open slot to add more if desired","Cons:""HD"" monitor is 1366 x 768 (so not full HD), and is passable, but overall pretty terrible (e.g. poor black levels and viewing angles)The included 1 TB mechanical hard drive is OK but is a major bottleneck on the fast CPU re: overall speed. Get an M.2 SSD and install it in the open slot for a major speed boost. But that of course adds $60-$120 of additional cost.","Other Thoughts:Recommended for those who know what they are getting (a great CPU) for the attractive price, and are comfortable with opening it up to install an M.2 SSD drive for a big speed boost. When not on the go, use with an external monitor for better visuals.",0,0
,,4,question,2018-11-29,Pros:h want to know which pen works with this laptop if is there pen can work with it?,Cons:I don't know. that is it,,0,0
Lenovo,T480s (20L7002HUS),5,Great Laptop! A True Thinkpad!,2019-02-14,"Pros:-lightweight and compact (for a 14"" laptop)-very, very durable and well constructed-IPS screen is above average in color reproduction and contrast-a well integrated and executed package for professional users",Cons:-you can buy faster laptops for cheaper-there is absolutely no way the battery on this thing lasts the claimed 15.6 hours,"Other Thoughts:I bought a few of these in setting up my own small firm -- one for each attorney.  They fit the bill perfectly.  They are quick, quiet, light, and extremely durable.  Obviously you can find faster computers for less money.  However, these are put together well, they are solid, and they are professional workhorses.  My only gripe is that the actual battery life is about half of the claimed 15.6 hours.  Sure, maybe if you put the computer in airplane mode, turned the screen backlight completely off, and did virtually nothing, you could achieve the claimed 15.6 hours.  But with standard backlight, Word usage, and some internet surfing, 7-8 hours is the battery life.",0,0
DELL,XPS9370-7392SLV,3,"Horrible keyboard action, lovely screen",2018-11-29,Pros:- Nice screen,"Cons:- Keyboard is not sensitive at all, particularly the space bar. I hate using this laptop unless it is docked.- Don't underestimate the super awkward camera placement- Touch screen not as responsive as Surface",Other Thoughts:Would not purchase again and regret leaving Surface.,0,0
HP,850 G1 (E3W20UT#ABA),5,Great Laptop for the price,2014-04-28,Pros:Great light-weight laptop with nice performance,Cons:it doesn't have a numeric pad for some reason,Other Thoughts:it is a great laptop that is much lighter than the previous models and it works well with the new style of docking station also,0,0
HP,430 G5 (2SM72UT#ABA),1,WORST CUSTOMER SERVICE EVER,2018-06-11,Pros:Good price if unit worked.,Cons:One of the three laptops purchased failed immediately.  Gave BSOD about once an hour.  Contacted support and we ran diags.  They stated unit needed to be returned for repair and promptly sent me a shipping container and return label.  That was a month ago.  I get an email once a week stating they are extending my return date by a week and you can’t respond to the email.  Good luck getting them on the phone.,"Other Thoughts:Stick with Dell, they fix their problems in one or two business days.",0,0
,,4,Do Not Order from 6AVE,2018-04-02,"Pros:The quality of a MacBook speaks for itself, but do not order from 6AVE. I paid over $60 for one-day shipping and they still sent it via the cheapest ground method available.",Cons:The seller is incompetent and unfortunately unable to effectuate time sensitive orders properly.,,2,0
Lenovo,T480s (20L7002HUS),5,Great Laptop! A True Thinkpad!,2019-02-14,"Pros:-lightweight and compact (for a 14"" laptop)-very, very durable and well constructed-IPS screen is above average in color reproduction and contrast-a well integrated and executed package for professional users",Cons:-you can buy faster laptops for cheaper-there is absolutely no way the battery on this thing lasts the claimed 15.6 hours,"Other Thoughts:I bought a few of these in setting up my own small firm -- one for each attorney.  They fit the bill perfectly.  They are quick, quiet, light, and extremely durable.  Obviously you can find faster computers for less money.  However, these are put together well, they are solid, and they are professional workhorses.  My only gripe is that the actual battery life is about half of the claimed 15.6 hours.  Sure, maybe if you put the computer in airplane mode, turned the screen backlight completely off, and did virtually nothing, you could achieve the claimed 15.6 hours.  But with standard backlight, Word usage, and some internet surfing, 7-8 hours is the battery life.",0,0
DELL,6NV66,5,Well built system which balances smaller size with a powerful system.,2017-06-04,Pros:- Touch screen- Fingerprint reader- Small and light system- i7 Processor- Thunderbolt 3 port - you can charge through this port but there is also a charging port which allows the Thunderbolt 3 port to be used for other tasks while charging.- SD card slot,Cons:- Nothing.,Other Thoughts:- I purchased the TB16 dock which I was worried about based on reviews and the video was flashing as people warned.  This was a con for a few minutes but then after updating everything and restarting it was all working well.,0,0
MSI,P65 Creator 8RD-021,2,Nice but alot of malfunctions.,2019-02-03,Pros:-Very Lightweight-Beautiful design-Very Fast ssd and a lot of ram.,"Cons:-Ubuntu refuses to install on it-Windows 8.1, Windows server 2016 & 2019, and older versions of windows 10 lack many drivers-SSD That came with it (A Kingston NVME one)  became read-only after month of use and windows will no longer boot, and lost about a week of school work i had yet to backup. And now relay on an external ssd to use windows.-Gets Damage easy from everyday student life (especially when rushing to class or walking outside in the cold)-Very hard to repair (SSD and ram slots are behind the motherboard and battery making you remove the motherboard and battery to replace it. And ribbon cables are very hard to remove and insert and are fragile.","Other Thoughts:I will generally not recommend this laptop, even though it is cute it is very unreliable especially given the $2000 CAD cost. And by the looks of it It may not last through my whole school program.",0,3
