Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
DELL,E6540,2,Worked well but looked like it had been draged behind a car,2018-11-11,Pros:It worked just fine but this was no grade A laptop it looked as though it fell down some cement stairs and they tried to cover it up with stickers,Cons:cosmetically very bad,Other Thoughts:Do not buy!,0,0
DELL,E6540,4,Good experience so far,2018-07-18,Pros:This is my first refurb. I love the fact that I did not pay an outrageous price for the laptop i wanted.,"Cons:Not really a con, but the box the computer was  shipped in was totally torn up when the computer arrived. Hopefully there will be no trouble in the future.",Other Thoughts:I would buy again.,0,0
HP,8460P,1,Very disappointed!,2018-09-07,Pros:16 GB RAM,"Cons:The laptop is full of scratches and missing parts.Without the charger connected to the laptop, it does not work at all, even after five hours of charging it shows 0 battery.",,1,0
HP,8460P,1,Died after 4 weeks,2017-08-25,"Pros:Not much, price was OK, but other than that rather bad service and product",Cons:- horrible service- bad product- came dirty,,1,0
HP,8570P,4,First time refurb buyer,2016-06-09,"Pros:Great specs, great price, low shipping cost",Cons:Tiny (65 watt) power supply.  Wasn't thoroughly cleaned.  Had coffee stains (I hope) between keys and some kind of schmutz near the hinge.  There are also these weird stickers on the keyboard keys.  Wasn't expecting that.  Must....resist...urge....to....peel...stickers.......,"Other Thoughts:I would buy again and recommend this based on specs.  Next time, I would like be pictures of the actual unit being purchased.",1,0
HP,8570P,4,This computer rocks!!!,2016-06-08,Pros:Received my computer sooner than exspected . Everthing works great on it. I am very satified with my purchase.,Cons:The only thing  that would make it better is a larger ssd.,,1,0
Lenovo,W540,3,Solid machine for the money ... it's just that touchpad?!?,2018-10-16,"Pros:- for the money, the performance of this machine is great. i actually liked it very much. it's a great performing laptop.","Cons:- needs a mouse. the touchpad is awful. Worst. Ever. Made. Period. the entire touchpad is a mouse button. also, with Windows 10 the driver makes the touchpad unusable. i could place my finger in the middle of the touchpad and the cursor would bounce vertically. it was simply unusable. i disabled all ""special"" actions from the touchpad and also used the ""basic touchpad"" setting that is available in Windows 10. i made the machine a dual boot and the touchpad worked perfectly fine with Linux. did i mention i hate the touchpad in Windows 10?",,0,0
Lenovo,W540,5,Huge upgrade!,2018-05-23,Pros:-Fantastic keyboard-Super fast boot time,Cons:-Rather short battery life,"Other Thoughts:There's a scuff on the bottom, other than that this is a brand new unit as far as I can tell. Would definitely buy again",1,0
HP,9470M,5,Great Product,2016-01-31,Pros:This computer is amazing.........perfect. This is one of the best computers I have ever owned. The quality of the HP 9470 including the hardware is second to none and the HP support was amazing.,Cons:none,,0,0
HP,9470M,4,Nice,2015-12-14,Pros:I like the size of the laptop.  The keyboard lights up which I didn't expect.,Cons:The driver for the touchpad was not installed and not readily available.  I had to make some calls to the company that actually refurbished the computer.  They sent me a link that I was able to do what I had to do.,,0,0
DELL,E6420,2,This item must be categorized as Grade C,2019-02-21,Pros:Cheap,"Cons:Broken case, big scratches, an sticker with a lot of air bubbles to cover more scratches:(",,0,0
DELL,E6420,4,Great Daily Driver,2018-08-22,"Pros:-Physically, it came better than advertised. As a ""Grade B"" laptop, I expected a few small scuff, scratches, other signs of prior use, but the unit was beautiful, it looked and felt like a new laptop.-Came with a Dell charger. Not a cheap aftermarket one.-The battery that it came with was a Dell 9 cell extended-life battrey.","Cons:- Bios came pre A12, I had to update it to the current A25- Windows 10 was the only option of OS that was available, took hours to completely update.-Every now and then, on boot, I'll get a message that my charger is the wrong one for this laptop","Other Thoughts:At the end of the day there is no arguing, this laptop is a great ""Daily Driver"" and buying this one was a great deal. There wasn't anything wrong with this laptop that was beyond my ability to fix, and I would definitely recommend buying this laptop, and would do it again without hesitation.",0,0
Lenovo,T520,5,Good Laptop,2018-02-01,"Pros:I have purchased several of these over the last few years and haven't been disappointed yet. The laptop is well built and for being refurbished, at times, you wouldn't know it was refurbished. I had an issue with one I received but I was able to return and get another one sent quickly. I have used these for personal and business use and couldn't be happier.","Cons:The battery life on some isn't the greatest but a new battery is cheap enough, if you know where to look.",Other Thoughts:I would like to see it with 16GB ram instead of 8GB but easy enough to purchase and install.,0,0
Lenovo,T520,4,Refurbished well,2017-11-28,"Pros:-No major damage-From what it looks like, it has a new panel. Big plus.-Clean and prepped well for shipping.","Cons:-a couple of scratches, but very minor- keyboard has cap stickers, but they are pretty thick so there shouldn't be any significant wear.","Other Thoughts:Machine came packaged safely, and I would definitely order from this vendor again. Awesome product set for the price.",0,0
DELL,E7240,5,Great Deal!,2018-02-21,"Pros:Small, lightweight, fast, easy to set up.","Cons:No cons, this is a great deal.",Other Thoughts:I like the custom instructions that came with my set up.  Saved me a lot of time and effort with the Windows 10 activation.  Great job! nice product.,0,0
DELL,E7240,5,Joy Systems Refurb - Better Than Expected!,2017-11-18,"Pros:- system arrived in good working order -- no issues with motherboard, display, keyboard, etc.- cosmetically in average to above average condition, compared to a similar system received from another refurbisher- Joy Systems' one year warranty is a definite plus",Cons:- aftermarket power supply received with product,Other Thoughts:- A great laptop for a great price!- Highly recommend Joy Systems refurbs based on my experience with this machine compared to another refurbisher's unit (which thankfully had Dell warranty remaining or would have had to have been returned),0,0
DELL,E6440,5,Good computer janky charger,2017-12-08,"Pros:Great price and the computer runs great, no complaints on the computer",Cons:The charger broke immediately,Other Thoughts:I need to buy a new charger but the computer is a great price,0,0
DELL,E6440,3,Good computer. Charger sucks,2017-12-08,Pros:Computer runs smoothly,Cons:The off brand charger broke immediately,Other Thoughts:I wish I could actually use it,1,0
Lenovo,t520,5,"Lenovo B Grade Laptop t520 Intel Core i5 2520M (2.50 GHz) 4 GB Memory 250 GB HDD 15.6"" Windows 7 Home Premium 64-Bit",2016-12-10,Pros:Great Deal. Fresh Windows 7 install with no bloatware. My machine has a 320 GB hard drive instead of 250 like advertised.,Cons:I should have ordered two.,Other Thoughts:It is like brand new with no wear or scratches and runs really fast for an I5 processor.,1,0
Lenovo,t520,1,spotty QA,2015-12-27,Pros:- Great price for the spec- Great RMA process,Cons:- did not work when arrived- usb port on left side completely broken out- left touch pad botton did not work- CPU overheadted in about 10min of running- Waiting on RMA,Other Thoughts:- would not recommend,3,0
