Brand,Model,Star,Title,Date,Pros,Cons,Other,Voted_Y,Voted_N
DELL,i3542-3333BK,2,Too much bad to go with this one,2015-03-20,"Pros:Pretty cheap price, but comes with consquences","Cons:Feels cheap, junky plastic feels like it would shatter if dropped.I bought 10 for a client, 1 had to go back as an RMA, Dell tried to play games with me in support had to forcibly tell them to replace the entire thing instead of a specific component.Hard drive is pretty slow, laptop is fairly slow out of the box.If you throw an SSD in it, it would probably be much better, but get something that feels decent instead.The worst part about this laptop is the trackpad. No physical buttons and it double hits on every single one of these 10. Please if you buy this expect to get a mouse to tag along with it.  Or better yet, skip this thing all together.","Other Thoughts:It's a good price for an i3 with 4GB of Ram, but it's not worth it. There are tons of other laptops that will do the same job without all of the flaws for the same price.  Dell really skimped on this one. 1 of 10 DOA, flaws are consistent throughout the bunch of them.",0,0
DELL,i3542-3333BK,5,Absolutely beautiful laptop for its price,2014-12-30,"Pros:Price, build quality, and performance",Cons:NONE,"Other Thoughts:First of all, You get what you pay for.Dont expect for this laptop to blow you away.It has budget cheap HDD and RAM and CPU.However, Overall Performance is excellent for $300 laptop.($300 if you look around just a little)I work for GeekSquad at BBY and I have seen many of those laptops. If you are in tight budget, you HAVE to go with this.",1,0
DELL,i3542-3333BK,4,Good for the Price,2014-12-14,"Pros:Decent CPU, moderately expandable, crisp display (despite being low resolution), DVD burner, hinges seem solid, lightweight, decent keyboard, decent battery life (>4 hours when browsing Internet, writing documents).","Cons:Feels a bit flimsy, glossy sides (where the ports are, so easily scratched up), glossy display, speakers are pretty quiet, one RAM slot (instead of two), only has Fast Ethernet (but a USB 3.0 Gigabit adapter is fairly cheap if necessary).","Other Thoughts:My old Studio 1555 was starting to fall apart, so I knew I needed a new laptop.  After a few months of research, and a very tight budget (college student), I settled on this machine, and after two months of use, I can say that I'm happy with my choice.After buying this computer, I maxed out the RAM at 8 GB and installed a 240 GB Intel SSD (originally purchased for my Studio), and this machine is plenty fast for what I need it to do.It certainly isn't the best built laptop of all time and while I would have appreciated Gigabit Ethernet in this machine, I can certainly say that for the price I paid for it, it's a lot better than most other machines out there (when comparably priced machines are Pentiums or A6's at best).",2,0
DELL,i3542-3333BK,1,Hard Drive Faulty - Locks,2014-11-19,Pros:Price,Cons:I set the computer up and the hard drive was throttled at 100% almost the entire time it is on.  I put one of my extra hard drives in and now it works fine.  I would NOT recommend.,,0,3
DELL,i3542-3333BK,5,Good Laptop for the Money,2014-07-27,Pros:Good price for a mobile i5 CPU.  Decent size and quality screen.  Internal DVD/CD burner.  Fairly light weight.  Runs all normal applications just fine. It's a Dell.,Cons:Laptop chassis and keyboard have a cheap look and feel.  Kind of flimsy feeling.  It's slower than the expensive laptops.  Not a laptop for serious gamers or road warriors.  It's a Dell.,"Other Thoughts:I bought this for an upcoming trip to Europe.  I needed an inexpensive laptop for backing up photos on the trip, and also for casual use at home.  I wanted something more than a Celeron or low end AMD CPU with a CD burner.  It's exactly what I was looking for.  The price was great, and it's rather cheap look and feel was no more than I expected.  5 stars for completely meeting my expectations.",1,5
ASUS,UX433FA-XH54,3,Huge overheating problem,2019-03-07,"Pros:small, thin, lightweight and good screen","Cons:Overheated even when just using browsers and surfing the web. The thin bezzel on the bottom combined with small vents and not enough space for heat to disperse made this a disaster.Also, coil whine on the left side.",Other Thoughts:I wanted to love this laptop but I can't recommend it knowing its heating issue.,0,0
ASUS,UX433FA-XH54,5,Almost perfect laptop,2019-02-20,"Pros:Small, but solid, fast-screemer, nice feel to keyboard I like the number-pad.  This was bought for the wife who is a professional accountant.  She needed a computer that can backup big files to USB flash drives FAST.  I was getting 400+MBs through the USB-C ports using a C-A converter to a Corsair GTX 256GB flash drive.  The screen it excellent and bright.  I'm also surprised how cool this seems to stay.",Cons:Not a con but this would have been perfect if it could have had a touchscreen.  I looked for one but there was nothing with the USB3gen2 ports in the system.  I did find a 4K screen version with a touchscreen but she did want a 4K screen and didn't need the MX100 graphics included.,Other Thoughts:All her co-workers loved it.I had zero issue transferring and installing all her apps in this computer.,1,0
ASUS,UX433FA-XH54,4,Great performance and battery in small package with some annoyances,2019-02-03,Pros:- Light and compact (more compacted but slightly thicker than my ux31a zenbook)- Fast due to cpu and nvme ssd- 512GB nvme ssd (Intel ssd 1800 read/1500 write)- Battery performance is good. i can easily get 6hours of decent web browsing activity on YouTube and other tasks.- Solid build quality (doesnt feel it will break)- comes with the USB3.0 GB LAN adapter- ac wifi.,"Cons:- Trackpad is annoying to use!!!! compared to my ux31a and other laptops ive used, this trackpad is a total miss. there are time cursor would just jump in random directions while trying to click on something... so unacceptable. You better use a mouse with this laptop otherwise you will want to return it if this isnt the case.- coil whine or some electrical noise is coming from the left area of the laptop when doing some cpu intensive tasks... annoying (review on other site about this issue states his stopped doing this after 2months of use... hope that is true)- no thunderbolt 3 port ..- Not a touch screen given it is a glossy screen... i would have liked touch screen given this point- the laptop sleeve case uses velcro instead of a magnet. i prefer the magnet like my ux31a has on its sleeve.","Other Thoughts:- Not a Matte screen given it isnt even a touch screen....- the blue color is nice but it is a fingerprint magnet... my ux31a was silver so you could hardly tell any finger prints were on there.- something is odd with the screen. if you go from a dark screen (youtube in dark mode) and then move to a bright one (open windows explorer for example) the image on the while looks a little blurry or grey like...it eventually gets normal bur during that time you notice the screen brightness step-up every second. strange.- the power adapter should of had the plug prongs fold into itself... this one just does not have that ability, shame. i have to say though that it is smaller in size than my ux31a, but that one does have the prongs fold in, guess that is the trade off. oh well.- wish there were more color options, i would have preferred a black option other than the blue.- when i am connected to 2.4GHz wifi i tend to lose connectivity randomly. i have to disconnect and reconnect to get connectivity back. i could be the only one, but anyway to workaround this issue i just use ac (5GHz) wifi..N.B. if you need to update the bios, use the USB2.0 port on the right side of laptop, otherwise it will not be detected by Asus ez flash utility in the bios.",4,0
ASUS,UX433FA-XH54,5,Great machine ...,2019-01-14,Pros:- small- light weight- fast- I can game with it ... World of Tanks ... 70 FPS on low resolution with 10 ms ping times,"Cons:- it uses the M2 disk drive form factor, so not ""cut and dried"" to install larger disk",Other Thoughts:- would recommend,1,1
ASUS,UX433FA-XH54,5,"Thin, light, powerful laptop",2018-12-30,"Pros:This is an awesome laptop.  I knew it was thin and lightweight, but I was still surprised at just how thin it is.  The screen is superb, and I like that it is glassy as I am not fond of dull looking matte screens like my old laptop had.  The best part is the performance.  I was initially concerned about the low power Intel i7 1.8 GHz 4 core 8 thread processor because my 5.5-year-old ASUS laptop had an i7-3632QM 2.2 GHz 4 core 8 thread processor.  Because this newer 8th generation i7 CPU can crank out to 4.6 GHz on a single core when you need that extra power, it totally leaves my old laptop’s CPU (which I was pleased with) in the dust!  The wireless card is super great as well.  It stays connected to my AC1900 802.11ac router at the maximum speed of 866.7 Mbps and never fluctuates.  When I run a speed test of my 400 Mbps Internet connection I always get 400 Mbps or more download rate.","Cons:I must say the only thing I was missing from my perfect laptop wish list was that it comes with Windows 10 Home rather than Windows 10 Pro.  The laptop was not loaded down with bloatware and did not have a 10 GB or so recovery partition, so I resolved this issue quite quickly.  In Windows 10, I went to Settings > Update and Security > Activation and took the “upgrade your edition of Windows” option.   I clicked on the “go to the store” link, logged onto the Microsoft Store, put $100 on my credit card, clicked the install button, waited less than 5 minutes for a few files to load, and then rebooted into Windows 10 Pro.  I think $100 is a little pricey to likely “unlock” Pro features that already exist on the OS image, but it was extremely quick and cheaper than spending about $140 to purchase Windows 10 Pro OEM software or $200 for the Windows 10 Pro full version.","Other Thoughts:I would have liked two USB 3.1 type A ports instead of just one, but that is not a show stopper as I can connect a USB 3 hub if I need extra ports.  The USB type C port is USB 3.1 Gen 2 (10 Gbps) which is a plus as most of the laptops I have looked at only have a USB 3.1 Gen 1 (5 Gbps) type C port.   I am not bothered by the slower USB 2.0 port on the right side because I like to use a wireless mouse, so I leave the receiver for that plugged in there.   I spent many hours searching for the perfect 14” laptop and this one truly fits the bill for me.  I would recommend this laptop to (non-gamer) power users like myself.",4,0
